w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
821,804,Nichla Faliya,Kiti,M.P,Sondwa,Alirajpur,Sondwa,5-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
822,805,Badi Mal,Karajwani,M.P,Sondwa,Alirajpur,Sondwa,5-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
823,806,Dhanbayadi,Karajwani,M.P,Sondwa,Alirajpur,Sondwa,5-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
824,807,Baliyam,Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,10-Dec-2024,Study Center,Santhal & Bhumij (ST),
825,808,Bhamradih,Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,10-Dec-2024,Study Center,"Santhal,Munda & Bhumij (ST)",
826,809,Dumkakocha,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,11-Dec-2024,Study Center,Santhal & Bhumij (ST),
827,810,Jamra Faliya,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
828,811,Gata,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
829,812,Gondwani,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
830,813,Kiloda,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
831,814,Kadai Pani,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
832,815,Ambaja,Gata,M.P,Sondwa,Alirajpur,Sondwa,23-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
833,816,Upharikala,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,5-Jan-2025,Study Center,"Gond, Agariya, Panika (ST) & OBC",
834,817,Murum,Murum,M.P,Birsa,Balaghat,Birsa,8-Jan-2025,Study Center,Gond & Baiga (ST),
835,818,Batranga,Murum,M.P,Birsa,Balaghat,Birsa,10-Jan-2025,Study Center,Baiga (ST),
836,819,Kidgi Tola,Murum,M.P,Birsa,Balaghat,Birsa,10-Jan-2025,Study Center,Gond (ST),
837,820,Dulhapur,Murum,M.P,Birsa,Balaghat,Birsa,13-Jan-2025,Study Center,Gond & Baiga (ST),
838,821,Rashimeta,Murum,M.P,Birsa,Balaghat,Birsa,13-Jan-2025,Study Center,Gond (ST),
839,822,Adori,Bondari,M.P,Birsa,Balaghat,Birsa,13-Jan-2025,Study Center,Gond & Baiga (ST),
840,823,Jhatijharna,Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,24-Jan-2025,Study Center,Santhal & Bhumij (ST),
841,824,Balidih,Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,24-Jan-2025,Study Center,Santhal & Bhumij (ST),
842,825,Bhumru,Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,25-Jan-2025,Study Center,Santhal & Bhumij (ST),
843,826,Dhavdiya,Mathmath,M.P,Petlawad,Jhabua,Petlawad,7-Feb-2025,Shiksha Kutir,Bhil (ST),
844,827,Baliyapada,Mathmath,M.P,Petlawad,Jhabua,Petlawad,7-Feb-2025,Shiksha Kutir,Bhil (ST),
845,828,Piplipada,Mathmath,M.P,Petlawad,Jhabua,Petlawad,7-Feb-2025,Shiksha Kutir,Bhil (ST),
846,829,Digha,Digha,J.H,Ghatshila,East Singhbhum,Ghatshila,19-Feb-2025,Study Center,Santhal & Bhumij (ST),
847,830,Basadera,Digha,J.H,Ghatshila,East Singhbhum,Ghatshila,20-Feb-2025,Study Center,Santhal & Bhumij (ST),
848,831,Samripada,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,20-Feb-2025,Shiksha Kutir,Bhil (ST),
849,832,Kotda,Mahi,M.P,Petlawad,Jhabua,Petlawad,20-Feb-2025,Shiksha Kutir,Bhil (ST)  & OBC,
850,833,Gurajhor,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,21-Feb-2025,Study Center,Santhal & Bhumij (ST),
851,834,Haludboni,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,22-Feb-2025,Study Center,Santhal & Bhumij (ST),
852,835,Sari,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,23-Feb-2025,Study Center,Santhal & Bhumij (ST),
853,836,Bataluka,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,24-Feb-2025,Study Center,Santhal & Bhumij (ST),
854,837,Mirgitand,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,25-Feb-2025,Study Center,Santhal & Bhumij (ST),
855,838,Kashidanga(Fuljhor),Jhatijharna,J.H,Ghatshila,East Singhbhum,Ghatshila,26-Feb-2025,Study Center,Santhal & Bhumij (ST),
856,839,Jhunjka,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,27-Feb-2025,Study Center,Santhal & Bhumij (ST),
857,840,Piprahwa,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,9-Mar-2025,Study Center,"Baiga, Gond, Panika (ST), Saket (SC) & Yadav, Jaiswal (OBC)",
858,841,Viktha,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,9-Mar-2025,Study Center,"Baiga, Gond, Agariya (ST), & Yadav (OBC)",
859,842,Bhainsur,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,9-Mar-2025,Study Center,"Baiga, Gond, Panika (ST) & Jaiswal (OBC)",
860,843,Geerapan,Suda,M.P,Chitrangi,Singrauli,Chitrangi,9-Mar-2025,Study Center,"Baiga, Gond (ST)",
861,844,Khamhaniya,Suda,M.P,Chitrangi,Singrauli,Chitrangi,9-Mar-2025,Study Center,"Baiga, Gond, Panika (ST) & Yadav, Jaiswal (OBC)",
862,845,Gerui,Suda,M.P,Chitrangi,Singrauli,Chitrangi,4-Apr-2025,Study Center,"Baiga, Gond, Panika, Agariya (ST) & Bais (OBC)",
863,846,Suda,Suda,M.P,Chitrangi,Singrauli,Chitrangi,4-Apr-2025,Study Center,"Baiga, Gond, Panika (ST), Saket, Prajapati (SC) & Yadav, Bais, Jaiswal (OBC)",
864,847,Barwa Tola,Suda,M.P,Chitrangi,Singrauli,Chitrangi,5-Apr-2025,Study Center,"Baiga, Gond, Panika, Agariya (ST), Saket, Prajapati (SC) & Yadav, Bais, Jaiswal (OBC)",
865,848,Suddi,Suda,M.P,Chitrangi,Singrauli,Chitrangi,5-Apr-2025,Study Center,"Baiga, Gond (ST) & Yadav (OBC)",
866,849,Lalimatee,Suda,M.P,Chitrangi,Singrauli,Chitrangi,5-Apr-2025,Study Center,"Gond, Panika (ST) & Yadav, Nai, Bais (OBC)",
867,850,Keonchi,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,9-Apr-2025,Study Center,"Gond (ST)  & Panika, Yadav (OBC) & Thakur (Gen)",
868,851,Amadob,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,9-Apr-2025,Study Center,"Baiga, Gond, Uranv (ST)  & Yadav (OBC)",
