w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
917,900,Badi Gendra,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,25-Jul-2025,Study Center,Bhilala (ST),
918,901,Matar Bara,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,25-Jul-2025,Study Center,Bhilala (ST),
919,902,Badi Patel Faliya,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,25-Jul-2025,Study Center,Bhilala (ST),
920,903,Devgarh,Shivni,M.P,Pati,Barwani,Pati,30-Jul-2025,Study Center,"Bheel, Barela (ST) &  Balai (SC)",
921,904,Chichwaniya,Shivni,M.P,Pati,Barwani,Pati,30-Jul-2025,Study Center,"Barela , Bheel (ST), &  Harijan (SC)",
922,905,Tapar,Shivni,M.P,Pati,Barwani,Pati,30-Jul-2025,Study Center,"Barela (ST),  Balai (SC) & Mankar (OBC)",
923,906,Shivni,Shivni,M.P,Pati,Barwani,Pati,30-Jul-2025,Study Center,Barela (ST) & Mankar (OBC),
924,907,Dhuradhar,Khamraudh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-July-2025,Study Center,"Baiga, Gond, Agariya (ST) & Yadav (OBC)",
925,908,Amgaon,Chagohar,M.P,Kusmi,Sidhi,Kusmi,31-July-2025,Study Center,"Gond. Baiga (ST), Saket (SC) & Yadav,  Kevat, Kuswaha (OBC)",
926,909,Badijhiriya,Chagohar,M.P,Kusmi,Sidhi,Kusmi,31-July-2025,Study Center,"Gond. Baiga (ST) & Yadav,  Jaiswal (OBC)",
927,910,Umargohan,Damgarh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,5-August-2025,Study Center,Gond & Baiga (ST),
928,911,Kui,Khamraudh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,5-August-2025,Study Center,"Gond, Agariya, Baiga (ST) Chaudhari (SC) & Yadav (OBC)",
929,912,Gijari,Khamraudh,M.P,Pushprajgarh,Anuppur,Pushprajgarh,7-August-2025,Study Center,"Gond, Agariya, Baiga (ST) & Yadav (OBC)",
930,913,Ghursibahra,Semarkhero,M.P,Baihar,Balaghat,Baihar,14-August-2025,Study Center,"Gond, Baiga (ST)",
931,914,Semarkhero,Semarkhero,M.P,Baihar,Balaghat,Baihar,14-August-2025,Study Center,"Gond, Baiga (ST)",
932,915,Murenda,Semarkhero,M.P,Baihar,Balaghat,Baihar,14-August-2025,Study Center,"Gond, Baiga (ST)",
933,916,Mohrai,Semarkhero,M.P,Baihar,Balaghat,Baihar,14-August-2025,Study Center,Gond (ST),
934,917,Samariya,Semarkhero,M.P,Baihar,Balaghat,Baihar,14-August-2025,Study Center,Gond (ST),
935,918,Abodhgarh,Shivni,M.P,Pati,Barwani,Pati,16-August-2025,Study Center,"Barela (ST), Harijan (SC) &  Mankar (OBC)",
936,919,Dongariya,Semarkhero,M.P,Baihar,Balaghat,Baihar,18-August-2025,Study Center,Gond (ST),
937,920,Aambi,Shivni,M.P,Pati,Barwani,Pati,18-August-2025,Study Center,"Bhil, Barela & Pawara (ST)",
938,921,Nivas,Semarkhero,M.P,Baihar,Balaghat,Baihar,20-August-2025,Study Center,Gond (ST),
939,922,Bilaikhar,Semarkhero,M.P,Baihar,Balaghat,Baihar,20-August-2025,Study Center,Gond (ST),
940,923,Juwadi Tola,Semarkhero,M.P,Baihar,Balaghat,Baihar,20-August-2025,Study Center,Baiga (ST),
941,924,Bhalapuri,Semarkhero,M.P,Baihar,Balaghat,Baihar,22-August-2025,Study Center,Gond (ST),
942,925,Atarchuva,Semarkhero,M.P,Baihar,Balaghat,Baihar,22-August-2025,Study Center,Gond (ST),
943,926,Bajghundi,Semarkhero,M.P,Baihar,Balaghat,Baihar,22-August-2025,Study Center,Gond (ST),
944,927,Medara Dakshin Tola,Rauhal,M.P,Kusmi,Sidhi,Kusmi,26-August-2025,Study Center,"Gond, Panika, Agariya, Baiga (ST), Prajapati, Saket (SC), & Yadav Sahu (OBC)",
945,928,Palihan Tola Juri,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,26-August-2025,Study Center,"Gond, Baiga, Agariya (ST),  Yadav, Napit (OBC)",
946,929,Khale Dhawai,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-August-2025,Study Center,"Gond (ST), Chmar (SC), & Banjara, Ahir (OBC)",
947,930,Sanjhola Tola,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,28-August-2025,Study Center,"Gond (ST), & Dimar, Ahir (OBC)",
948,931,Suadand,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,28-August-2025,Study Center,Gond (ST) & Ahir (OBC),
949,932,Chokari,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,28-August-2025,Study Center,"Gond, Baiga, Agariya, Khaiwar  (ST), &  Yadav,  (OBC)",
950,933,Majhigawan,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,28-August-2025,Study Center,Gond (ST) & Yadav (OBC),
951,934,Beldiha,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,28-August-2025,Study Center,"Gond, Rawat (ST),  Sahu, Patel, Khaiwar (OBC)",
952,935,Chitrauli,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,28-August-2025,Study Center,"Gond , Panika, Agriya, Baiga (ST), & Saket (SC)",
953,936,Bhadaura,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,29-August-2025,Study Center,"Baiga, Gond, Panika,  Agariya (ST), Prajapati, Saket (SC), Yadav (OBC)",
954,937,Bhaiswahi,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,29-August-2025,Study Center,"Baiga, Gond Agariya (ST), Prajapati, Saket (SC), Yadav (OBC)",
955,938,Harimau,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,2-September-2025,Study Center,Korku (ST),
956,939,Lokaldari,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,2-September-2025,Study Center,Korku (ST),
957,940,Kukru,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,3-September-2025,Study Center,Korku (ST) & Yadav (OBC),
958,941,Jamukheda,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,3-September-2025,Study Center,Korku (ST),
959,942,Mahora,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,6-September-2025,Study Center,"Gond, Panika (ST), Chaudhari (SC), & Yadav (OBC)",
960,943,Paladongri,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,6-September-2025,Study Center,"Gond, Panika, Agariya  (ST)  Nayak & Yadav (OBC)",
961,944,Piparkhuta,Bijapuri,M.P,Pushprajgarh,Anuppur,Pushprajgarh,6-September-2025,Study Center,"Gond, Panika, Agariya  (ST)  Nayak & Yadav (OBC)",
962,945,Dhawai,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,6-September-2025,Study Center,"Gond, Baiga, Agariya  (ST) & Yadav (OBC)",
963,946,Boda,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,8-September-2025,Study Center,"Gond, Panika, (ST)   & Yadav (OBC)",
964,947,Khursi,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,8-September-2025,Study Center,"Gond, Panika, Agariya  (ST)  Choudhari (SC)",
965,948,Kasturi,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,10-September-2025,Study Center,"Gond, Panika  (ST)  Choudhari (SC)",
966,949,Nichli,Nichli,M.P,Ghansaur,Seoni,Ghansaur,11-September-2025,Study Center,"Gond, Baiga (ST) & Yadav (OBC)",
967,950,Budhera,Nichli,M.P,Ghansaur,Seoni,Ghansaur,11-September-2025,Study Center,"Gond, Baiga (ST), Katiya, Kulmi, Chodhari (SC) Ahir, Lohar, & Dimer (OBC)",
968,951,Motiya,Motiya,M.P,Bajna,Ratlam,Bajna,12-September-2025,Study Center,Bhill (ST),
969,952,Ghughad,Motiya,M.P,Bajna,Ratlam,Bajna,16-September-2025,Study Center,Bhill (ST),
970,953,Rela,Motiya,M.P,Bajna,Ratlam,Bajna,16-September-2025,Study Center,Bhill (ST),
971,954,Dongari Tola,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,17-September-2025,Study Center,"Gond, Agariya (ST) & Yadav (OBC)",
972,955,Ajabgadh,Motiya,M.P,Bajna,Ratlam,Bajna,19-September-2025,Study Center,Bhill (ST),
973,956,Dharampuri,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,21-September-2025,Study Center,Bhill (ST),
974,957,Bokranya,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,21-September-2025,Study Center,Bhill (ST),
975,958,Gokhurmal,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,22-September-2025,Study Center,Bhill (ST),
976,959,Japandari,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,25-September-2025,Study Center,Korku (ST),
977,960,Chikhlajhodi,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,25-September-2025,Study Center,Korku (ST),
978,961,Pipridhana,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,25-September-2025,Study Center,Korku & Gond (ST),
979,962,Salaydhana,Kasai,M.P,Bhainsdehi,Betul,Bhimpur,26-September-2025,Study Center,Korku (ST),
980,963,Lakadkuta,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,26-September-2025,Study Center,Bhilala (ST),
981,964,Datniya Faliya,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,26-September-2025,Study Center,Bhilala (ST),
982,965,Piprahi,Atraila,M.P,Kusmi,Sidhi,Kusmi,26-September-2025,Study Center,"Gond, Baiga (ST) & Saket (SC)",
983,966,Kundaur,Nagpokhar,M.P,Kusmi,Sidhi,Kusmi,26-September-2025,Study Center,"Baiga, Gond  (ST)  & Yadav, Kuswaha (OBC)",
984,967,Haiki,Nagpokhar,M.P,Kusmi,Sidhi,Kusmi,26-September-2025,Study Center,"Baiga, Gond Agariya (ST), Prajapati, Bansal (SC) & Yadav, Jaiswal (OBC)",
985,968,Runda,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,27-September-2025,Study Center,"Gond , Panika, Agriya,  (ST), & Saket (SC)",
986,969,Patidol,Majhigawan,M.P,Kusmi,Sidhi,Kusmi,27-September-2025,Study Center,"Gond , Panika, Agriya,  (ST), & Saket (SC)",
987,970,Badi Sirkhadi,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,27-September-2025,Study Center,Bhilala (ST),
988,971,Sakadi Faliya Mundla,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,27-September-2025,Study Center,Bhilala (ST),
989,972,Pakhalya Faliya,Kuli,M.P,Pati,Barwani,Pati,27-September-2025,Study Center,Barela (ST) & Mankar (OBC),
990,973,Palaspani Faliya Borkhedi,Kuli,M.P,Pati,Barwani,Pati,27-September-2025,Study Center,Barela (ST) & Mankar (OBC),
991,974,Kuli,Kuli,M.P,Pati,Barwani,Pati,27-September-2025,Study Center,Barela (ST) & Mankar (OBC),
992,975,Nimani Faliya Borkhedi,Kuli,M.P,Pati,Barwani,Pati,27-September-2025,Study Center,Barela (ST) & Mankar (OBC),
993,976,Ghughsi,Kuli,M.P,Pati,Barwani,Pati,28-September-2025,Study Center,Barela (ST) & Mankar (OBC),
994,977,Valpanee,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,28-September-2025,Study Center,Bhill (ST),
995,978,Varti Faliya Raisagar,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,28-September-2025,Study Center,Bhill (ST),
996,979,Sagbara Patel Faliya,Borkund,M.P,Pati,Barwani,Pati,29-September-2025,Study Center,"Barela (ST) & Mankar, Rathode (OBC)",
997,980,Sulya Faliya Pospur,Kuli,M.P,Pati,Barwani,Pati,29-September-2025,Study Center,"Barela (ST) & Mankar, Rathode (OBC)",
998,981,Kadvalya Faliya Semli,Kuli,M.P,Pati,Barwani,Pati,29-September-2025,Study Center,Barela (ST) & Mankar (OBC),
999,982,Pipriya Raiyat,Nichli,M.P,Ghansaur,Seoni,Ghansaur,30-September-2025,Study Center,"Gond (ST), Yadav & Patel (OBC)",
1000,983,Khajpur,Kuli,M.P,Pati,Barwani,Pati,5-October-2025,Study Center,"Barela, Bhil (ST), Harijan (SC) & Mankar (OBC)",
1001,984,Undari Ukla Faliya,Roshiya Uchala Faliya,M.P,Sondwa,Alirajpur,Sondwa,4-November-2025,Study Center,Bhilala (ST),
1002,985,Vavi Patel Faliya,Roshiya Uchala Faliya,M.P,Sondwa,Alirajpur,Sondwa,4-November-2025,Study Center,Bhilala (ST),
1003,986,Roshiya Uchala Faliya,Roshiya Uchala Faliya,M.P,Sondwa,Alirajpur,Sondwa,4-November-2025,Study Center,Bhilala (ST),
1004,987,Detkunda Patel Faliya,Roshiya Uchala Faliya,M.P,Sondwa,Alirajpur,Sondwa,4-November-2025,Study Center,Bhilala (ST),
1005,988,Khandan 2,Motiya,M.P,Bajna,Ratlam,Bajna,8-November-2025,Study Center,Bhill (ST),
1006,989,Gujarpada,Motiya,M.P,Bajna,Ratlam,Bajna,8-November-2025,Study Center,Bhill (ST),
1007,990,Chipakhedi,,M.P,Pati,Barwani,Pati,9-November-2025,Study Center,"Barela (ST), Harijan (SC), & Mankar (OBC)",
1008,991,Nalti,,M.P,Pati,Barwani,Pati,9-November-2025,Study Center,"Barela, Bhill  (ST), Harijan (SC), & Mankar (OBC)",
1009,992,Khartya Faliya,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1010,993,Dongaliyapani Faliya,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1011,994,Rupgarh Guru Faliya,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1012,995,Amba Hawaldariya Faliya,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1013,996,Chapriyapani,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1014,997,Jamnyapani,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1015,998,Gulriyapani,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,9-November-2025,Study Center,Bhill (ST),
1016,999,Semri,Semri,M.P,Guna,Guna,Guna,12-November-2025,Study Center,Sahariya (ST),
1017,1000,Gadla Gird,Semri,M.P,Guna,Guna,Guna,12-November-2025,Study Center,Sahariya (ST),
1018,1001,Bakhari Mal,Magardha,M.P,Ghansaur,Seoni,Ghansaur,13-November-2025,Study Center,"Gond (ST), Mehra (SC), Ahir, Kurmi & Dimar (OBC) ",
1019,1002,Selvada,Nichli,M.P,Ghansaur,Seoni,Ghansaur,13-November-2025,Study Center,"Gond (ST), Baiga (SC), Yadav, Patel, & Vishkarmas (OBC)",
1020,1003,Semra Kheda,Semri,M.P,Aron,Guna,Aron,15-November-2025,Study Center,Sahariya (ST),
1021,1004,Chhapal,Nichli,M.P,Ghansaur,Seoni,Ghansaur,21-November-2025,Study Center,"Gond (ST), Jhariya (SC)& Yadav,  Panika (OBC)",
1022,1005,Magardha,Magardha,M.P,Ghansaur,Seoni,Ghansaur,21-November-2025,Study Center,Gond (ST),
1023,1006,Seara,Semliya,M.P,Bajna,Ratlam,Bajna,25-November-2025,Study Center,Bhil (ST),
1024,1007,Banki,Semliya,M.P,Bajna,Ratlam,Bajna,25-November-2025,Study Center,Bhil (ST),
1025,1008,Tanaja,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-November-2025,Study Center,Gond & Baiga (ST),
1026,1009,Duwari,Mahora,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-November-2025,Study Center,"Gond, Baiga, Panika (ST), & Banjara, Yadav (OBC)",
1027,1010,Dharampuri Pujara Faliya,Dharampuri,M.P,Bhagwanpura,Khargone,Bhagwanpura,27-November-2025,Study Center,Barela (ST),
1028,1011,Muvasmal,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,27-November-2025,Study Center,Barela (ST),
1029,1012,Palaskut Ghata Faliya,Valpanee,M.P,Bhagwanpura,Khargone,Bhagwanpura,27-November-2025,Study Center,Barela (ST),
1030,1013,Aakadiya,,M.P,Bajna,Ratlam,Bajna,28-November-2025,Study Center,Bhil (ST),
1031,1014,Tikariya,Nichli,M.P,Ghansaur,Seoni,Ghansaur,29-November-2025,Study Center,"Gond (ST), Patel & Barman (OBC)",
1032,1015,Khursipar,Nichli,M.P,Ghansaur,Seoni,Ghansaur,29-November-2025,Study Center,"Gond (ST), Yadav, Kurmi, Sen & Barman (OBC)",
1033,1016,Jabad,,M.P,Bajna,Ratlam,Bajna,29-November-2025,Study Center,Bhil (ST),
1034,1017,Kakraj,,M.P,Lateri,Vidisha,Lateri,19-December-2025,Study Center,,
1035,1018,Dapkan,,M.P,Lateri,Vidisha,Lateri,19-December-2025,Study Center,,
1036,1019,Khairkhedi,,M.P,Lateri,Vidisha,Lateri,20-December-2025,Study Center,,
1037,1020,Bijukhedi,,M.P,Lateri,Vidisha,Lateri,21-December-2025,Study Center,,
1038,1021,Raipura,,M.P,Lateri,Vidisha,Lateri,21-December-2025,Study Center,,
1039,1022,Davajhir,Magardha,M.P,Ghansaur,Seoni,Ghansaur,21-December-2025,Study Center,"Gond, Baiga (ST),  Yadav & Panika (OBC) ",
1040,1023,Chinga,Magardha,M.P,Ghansaur,Seoni,Ghansaur,23-December-2025,Study Center,"Gond (ST), & Yadav (OBC)",
1041,1024,Singhanpuri,Magardha,M.P,Ghansaur,Seoni,Ghansaur,23-December-2025,Study Center,"Gond (ST), Vishwkarma & Yadav (OBC)",
1042,1025,Jhirniya,,M.P,Maksudangarh,Guna,Raghogarh,25-December-2025,Study Center,,
1043,1026,Nadiapura,,M.P,Lateri,Vidisha,Lateri,26-December-2025,Study Center,,
1044,1027,Kitarra Saharana-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,Sahariya (ST),
1045,1028,Ugona Saharana-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya(ST) & Gurjar (OBC)
",
1046,1029,Aamwala Saharana-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya, Bhil (ST) & Jatav(SC)
",
1047,1030,Indra Colony-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya (ST), Jatav (SC) & Kushwaha (OBC)
",
1048,1031,Sanjay Colony-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,Sahariya (ST) & Jatav (SC),
1049,1032,Mirchwala Saharana-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya (ST)
",
1050,1033,Acharwala Saharana-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya (ST), Jatav (SC) Kushwaha & Muslim (OBC)",
1051,1034,Shiv Colony-Karahal,Aamwala,M.P,Karahal,Sheopur,Karahal,27-December-2025,Study Center,"Sahariya (ST), Jatav (SC) Banjare & Kushwaha (OBC)
",
1052,1035,Kusmi,Magardha,M.P,Ghansaur,Seoni,Ghansaur,27-December-2025,Study Center,Gond (ST) & Yadav (OBC),
1053,1036,Dampuri,Nichli,M.P,Ghansaur,Seoni,Ghansaur,27-December-2025,Study Center,"Gond (ST), Vishwkarma & Yadav (OBC)",
1054,1037,Deori,Magardha,M.P,Ghansaur,Seoni,Ghansaur,31-December-2025,Study Center,Gond (ST) & Yadav (OBC),
1055,1038,Beswani,,M.P,Sondwa,Alirajpur,Sondwa,3-January-2026,Study Center,,
1056,1039,Roshiya Patel Faliya,,M.P,Sondwa,Alirajpur,Sondwa,3-January-2026,Study Center,,
1057,1040,Haripura,,M.P,Lateri,Vidisha,Lateri,8-January-2026,Study Center,,
1058,1041,Mehra,Rampura,M.P,Pohari,Shivpuri,Pohari,12-January-2026,Study Center,"Sahriya (ST), Parihar(SC), Sain (OBC)  & Pandit (GEN)
",
1059,1042,Nonhetakhurd,Rampura,M.P,Pohari,Shivpuri,Pohari,12-January-2026,Study Center,Sahriya (ST),
1060,1043,Batkakhedi,Rampura,M.P,Pohari,Shivpuri,Pohari,12-January-2026,Study Center,Sahriya (ST),
1061,1044,Patpari,Rampura,M.P,Pohari,Shivpuri,Pohari,12-January-2026,Study Center,Sahriya (ST) & Prajapati (SC),
1062,1045,Taprpura,Rampura,M.P,Pohari,Shivpuri,Pohari,12-January-2026,Study Center,Sahriya (ST),
1063,1046,Sarwani,Parasari,M.P,Pohari,Shivpuri,Pohari,15-January-2026,Study Center,Sahriya (ST) & Jatav (SC),
1064,1047,Jakhnod,Umrai,M.P,Pohari,Shivpuri,Pohari,15-January-2026,Study Center,"Sahriya (ST), Jatav (SC) & Yadav (OBC) ",
1065,1048,Lokhari,Mahdewa,M.P,Pohari,Shivpuri,Pohari,15-January-2026,Study Center,Sahriya (ST) &  Yadav (OBC),
1066,1049,Jhagar,,M.P,Sironj,Vidisha,Lateri,17-January-2026,Study Center,,
1067,1050,Meghada,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,17-January-2026,Study Center,Snathaal (ST),
1068,1051,Jerka,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,17-January-2026,Study Center,Santhal & Bhumij (ST),
1069,1052,Mahulbasa,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,17-January-2026,Study Center,Santhal & Bhumij (ST),
1070,1053,Mahdewa,Mahdewa,M.P,Pohari,Shivpuri,Pohari,18-January-2026,Study Center,"Sahriya (ST), Jatav( SC), Kushvaha, Sain (OBC) & Pandit( GEN)
",
1071,1054,Dobha,Mahdewa,M.P,Pohari,Shivpuri,Pohari,18-January-2026,Study Center,"Sahriya (ST), Jatav( SC), Kushvaha, Sain (OBC) & Pandit( GEN)
",
1072,1055,Baglon,Mahdewa,M.P,Pohari,Shivpuri,Pohari,18-January-2026,Study Center,Sahriya( ST) Kushvaha & Yadav (OBC),
1073,1056,Agradanda,Mahloni,M.P,Pohari,Shivpuri,Pohari,18-January-2026,Study Center,Sahriya (ST),
1074,1057,Sukrigaria,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,18-January-2026,Study Center,Snathaal (ST),
1075,1058,Jamdih,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,18-January-2026,Study Center,"Santhal, Bhumij (ST),  Mahato (GEN) & Tanti (OBC)",
1076,1059,Ghorabandha,Jhunjka,J.H,Patamda,East Singhbhum,Patamda,18-January-2026,Study Center,Santhal & Bhumij (ST),
1077,1060,Dhupa Bondariya Faliya,Sattali,M.P,Bhagwanpura,Khargone,Bhagwanpura,19-January-2026,Study Center,,
1078,1061,Sattali,Sattali,M.P,Bhagwanpura,Khargone,Bhagwanpura,19-January-2026,Study Center,,
1079,1062,Machabera,Digha,J.H,Golmuri-cum-Jugsalai,East Singhbhum,Golmuri-cum-Jugsalai,19-January-2026,Study Center,Santhal & Bhumij (ST),
1080,1063,Daldali,Digha,J.H,Golmuri-cum-Jugsalai,East Singhbhum,Golmuri-cum-Jugsalai,19-January-2026,Study Center,"Santhal, Bhumij (ST),  Mahato (GEN) & Tanti (OBC)",
1081,1064,Gobindpur,Digha,J.H,Golmuri-cum-Jugsalai,East Singhbhum,Golmuri-cum-Jugsalai,19-January-2026,Study Center,"Santhal, Bhumij (ST) &  Mahato (GEN)",
1082,1065,Ramchandrapur,Digha,J.H,Ghatshila,East Singhbhum,Ghatshila,20-January-2026,Study Center,Snathaal (ST),
1083,1066,Dainmari,Digha,J.H,Ghatshila,East Singhbhum,Ghatshila,20-January-2026,Study Center,Snathaal (ST),
1084,1067,Bhaduya,Digha,J.H,Ghatshila,East Singhbhum,Ghatshila,20-January-2026,Study Center,"Santhal, Bhumij (ST) &  Mahato (GEN)",
1085,1068,Pindrabad,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,21-January-2026,Study Center,Santhal & Bhumij (ST),
1086,1069,Haludbani - 2,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,21-January-2026,Study Center,Santhal & Bhumij (ST),
1087,1070,Rajabasa,Dumkakocha,J.H,Ghatshila,East Singhbhum,Ghatshila,21-January-2026,Study Center,Santhal (ST),
1088,1071,Semarkhedi,,M.P,Lateri,Vidisha,Lateri,23-January-2026,Study Center,,
1089,1072,Khattyapura,,M.P,Lateri,Vidisha,Lateri,23-January-2026,Study Center,,
1090,1073,Chakrana,Umrai,M.P,Pohari,Shivpuri,Pohari,24-January-2026,Study Center,"Sahriya (ST),  Jatav (SC) & Dhakad (OBC )",
1091,1074,Agarra,Laxmipura,M.P,Pohari,Shivpuri,Pohari,24-January-2026,Study Center,"Sahriya (ST),  Jatav (SC) & Dhakad (OBC )",
1092,1075,Sahrana Nayagaon,Umrai,M.P,Pohari,Shivpuri,Pohari,24-January-2026,Study Center,Sahriya (ST),
1093,1076,Paddikona,Machhariya,M.P,Ghansaur,Seoni,Ghansaur,24-January-2026,Study Center,"Gond (ST), Jhariya (SC) & Yadav (OBC)",
1094,1077,Putrai,Machhariya,M.P,Ghansaur,Seoni,Ghansaur,24-January-2026,Study Center,Gond (ST) & Yadav (OBC),
1095,1078,Gariya Faliya,,M.P,Pati,Barwani,Pati,25-January-2026,Study Center,Barela (ST),
1096,1079,Kandravan,,M.P,Pati,Barwani,Pati,25-January-2026,Study Center,Barela (ST),
1097,1080,Dagdiya Khodra Faliya,,M.P,Pati,Barwani,Pati,25-January-2026,Study Center,Barela (ST),
1098,1081,Dabri,,M.P,Pati,Barwani,Pati,25-January-2026,Study Center,Barela (ST),
1099,1082,Garwadi,Rupapada,M.P,Petlawad,Jhabua,Petlawad,25-January-2026,Study Center,Bhil (ST),
1100,1083,Piplipada 2,Rupapada,M.P,Petlawad,Jhabua,Petlawad,25-January-2026,Study Center,Bhil (ST),
1101,1084,Kayarel,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,25-January-2026,Study Center,Bhil (ST),
1102,1085,Kasyakhali,Rupapada,M.P,Petlawad,Jhabua,Petlawad,25-January-2026,Study Center,Bhil (ST),
1103,1086,Dungariya,Machhariya,M.P,Ghansaur,Seoni,Ghansaur,25-January-2026,Study Center,Gond (ST),
1104,1087,Machhariya,Machhariya,M.P,Ghansaur,Seoni,Ghansaur,25-January-2026,Study Center,Gond (ST) & Yadav (OBC),
1105,1088,Bhachariya Faliya,Sattali,M.P,Bhagwanpura,Khargone,Bhagwanpura,25-January-2026,Study Center,,
1106,1089,Guwada Faliya,Sattali,M.P,Bhagwanpura,Khargone,Bhagwanpura,25-January-2026,Study Center,,
1107,1090,Melani Faliya,,M.P,Pati,Barwani,Pati,26-January-2026,Study Center,Barela (ST),
1108,1091,Budkimaal Ghata Faliya,Sattali,M.P,Bhagwanpura,Khargone,Bhagwanpura,26-January-2026,Study Center,,
1109,1092,Goriyapura,,M.P,Lateri,Vidisha,Lateri,28-January-2026,Study Center,,
1110,1093,Bhagwanpura,,M.P,Lateri,Vidisha,Lateri,28-January-2026,Study Center,,
1111,1094,Jamla Patel Faliya,,M.P,Katthiwada,Alirajpur,Katthiwada,28-January-2026,Study Center,,
1112,1095,Jamla Segi Faliya,,M.P,Katthiwada,Alirajpur,Katthiwada,28-January-2026,Study Center,,
1113,1096,Koliyari Faliya Kumbhi,,M.P,Katthiwada,Alirajpur,Katthiwada,28-January-2026,Study Center,,
1114,1097,Undari Patel Faliya,,M.P,Sondwa,Alirajpur,Sondwa,28-January-2026,Study Center,,
